Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Team,MP.1,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Expected_Ast,Expected_xAG,Expected_xA,Expected_A-xAG,Expected_KP,Expected_1/3,Expected_PPA,Expected_CrsPA,Expected_PrgP
Taylan Harris,eng ENG,FW,17.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Krul,nl NED,GK,35.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Luker,eng ENG,MF,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic Martins,pt POR,MF,17.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Mcatee,eng ENG,"FW,MF",24.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Piesold,eng ENG,MF,18.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Potts,eng ENG,DF,29.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sander Berge,no NOR,MF,25.0,37.0,34,3005.0,33.4,1.0,2.0,3.0,1.0,0.0,0.0,10.0,1.0,1.9,1.9,2.4,4.3,64.0,164.0,29.0,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13,Matches,Burnley,,,,,,,,,,,,,,,,,1.0,25.0,3.0,12.0,0.75,0.09,0.04,0.33,17.6,0.0,0.0,0.0,1.9,1.9,0.08,-0.9,-0.9,1376,1562,88.1,24429,5168,568,637,89.2,658,711,92.5,125,154,81.2,2,2.4,1.6,-0.4,29,129,16,1,164
Dara O'Shea,ie IRL,DF,24.0,33.0,32,2892.0,32.1,3.0,4.0,7.0,3.0,0.0,0.0,5.0,1.0,0.7,0.7,2.0,2.7,32.0,122.0,10.0,0.09,0.12,0.22,0.09,0.22,0.02,0.06,0.08,0.02,0.08,Matches,Burnley,,,,,,,,,,,,,,,,,3.0,19.0,5.0,26.3,0.59,0.16,0.16,0.6,10.6,0.0,0.0,0.0,0.7,0.7,0.04,2.3,2.3,1393,1759,79.2,27584,10235,459,551,83.3,752,854,88.1,168,304,55.3,4,2.0,1.0,+2.0,13,139,6,3,122
James Trafford,eng ENG,GK,20.0,28.0,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Burnley,,62.0,2.21,166.0,106.0,65.7,3.0,5.0,20.0,2.0,7.1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1009,1541,65.5,23601,16311,318,323,98.5,451,464,97.2,235,735,32.0,0,0.0,0.1,0.0,0,24,1,0,6
